model,model_id,ablation,semantics,condition_a,condition_b,n_paired_eligible,downward_rate_a,downward_rate_b,downward_risk_difference_b_minus_a,downward_risk_difference_ci_low,downward_risk_difference_ci_high,severity_drop_difference_b_minus_a,severity_drop_difference_ci_low,severity_drop_difference_ci_high,a_only_downward,b_only_downward,discordant,mcnemar_p,mcnemar_p_holm
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,direct,direct_simple,direct_news,35,0.17142857142857143,0.2571428571428571,0.08571428571428569,0.0,0.19999999999999998,0.14285714285714285,0.0,0.3142857142857143,0,3,3,0.25,0.25
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,direct,direct_simple,direct_camouflage,35,0.17142857142857143,0.05714285714285714,-0.1142857142857143,-0.22857142857142856,-0.028571428571428567,-0.14285714285714285,-0.34285714285714286,0.028571428571428567,4,0,4,0.125,0.25
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,direct,direct_news,direct_camouflage,35,0.2571428571428571,0.05714285714285714,-0.19999999999999998,-0.34285714285714286,-0.08571428571428572,-0.2857142857142857,-0.5428571428571428,-0.05714285714285715,7,0,7,0.015625,0.046875
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,misleading,misleading_simple,misleading_news,35,0.2,0.22857142857142856,0.028571428571428553,-0.05714285714285716,0.11428571428571432,0.08571428571428569,-0.05714285714285715,0.2571428571428572,1,2,3,1.0,1.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,misleading,misleading_simple,misleading_camouflage,35,0.2,0.08571428571428572,-0.1142857142857143,-0.22857142857142856,-0.028571428571428567,-0.14285714285714288,-0.3142857142857143,0.0,4,0,4,0.125,0.25
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,style,misleading,misleading_news,misleading_camouflage,35,0.22857142857142856,0.08571428571428572,-0.14285714285714285,-0.2571428571428572,-0.028571428571428574,-0.22857142857142856,-0.45714285714285713,-0.028571428571428574,5,0,5,0.0625,0.1875
