condition,n_paired,clean_accuracy,attacked_accuracy,accuracy_difference,attack_success_n,clean_correct_denominator,attack_success_rate,severity_drop,severity_drop_ci_low,severity_drop_ci_high,accuracy_diff_ci_low,accuracy_diff_ci_high,mcnemar_b,mcnemar_c,mcnemar_p,mcnemar_p_holm
benign_simple,180,0.5111111111111111,0.5166666666666667,0.005555555555555647,5,92,0.05434782608695652,0.011111111111111112,-0.03333333333333333,0.05,-0.033333333333333326,0.03888888888888897,5,6,1.0,1.0
benign_news,180,0.5111111111111111,0.5111111111111111,0.0,9,92,0.09782608695652174,-0.011111111111111112,-0.07222222222222222,0.044444444444444446,-0.04444444444444451,0.044583333333332635,9,9,1.0,1.0
benign_camouflage,180,0.5111111111111111,0.5111111111111111,0.0,5,92,0.05434782608695652,0.005555555555555556,-0.03333333333333333,0.044444444444444446,-0.033333333333333326,0.033333333333333326,5,5,1.0,1.0
direct_simple,180,0.5111111111111111,0.49444444444444446,-0.016666666666666607,32,92,0.34782608695652173,0.65,0.5277777777777778,0.7777777777777778,-0.10000000000000003,0.06680555555555484,32,29,0.798152627305718,1.0
direct_news,180,0.5111111111111111,0.5444444444444444,0.033333333333333326,22,92,0.2391304347826087,0.5166666666666667,0.40555555555555556,0.6333333333333333,-0.04444444444444445,0.11111111111111105,22,28,0.47988766169832786,1.0
direct_camouflage,180,0.5111111111111111,0.5777777777777777,0.06666666666666665,13,92,0.14130434782608695,0.31666666666666665,0.22777777777777777,0.40555555555555556,0.0,0.13333333333333336,13,25,0.07295138851623051,0.5836111081298441
misleading_simple,180,0.5111111111111111,0.5666666666666667,0.05555555555555558,24,92,0.2608695652173913,0.45,0.35555555555555557,0.55,-0.02777777777777779,0.13347222222222155,24,34,0.2370471147627195,1.0
misleading_news,180,0.5111111111111111,0.5777777777777777,0.06666666666666665,21,92,0.22826086956521738,0.4166666666666667,0.32222222222222224,0.5111111111111111,-0.01666666666666672,0.14444444444444443,21,33,0.13367423536410528,0.9357196475487369
misleading_camouflage,180,0.5111111111111111,0.5944444444444444,0.08333333333333337,10,92,0.10869565217391304,0.2111111111111111,0.12777777777777777,0.28888888888888886,0.0222222222222222,0.14999999999999997,10,25,0.01667384780012071,0.1500646302010864
