experiment,condition,n,accuracy,clean_accuracy,asr,asr_n,asr_denominator,asr_ci_low,asr_ci_high,targeted_asr,targeted_n,targeted_ci_low,targeted_ci_high,mean_severity_drop,median_severity_drop,one_level_drop_rate,two_level_drop_rate,severe_undertriage,undertriage_ci_low,undertriage_ci_high,critical_undertriage,critical_ci_low,critical_ci_high,induced_undertriage,induced_undertriage_n,induced_denominator,induced_ci_low,induced_ci_high
style,benign_camouflage,180,0.5111111111111111,0.5111111111111111,0.05434782608695652,5.0,92.0,0.023435063948632366,0.12098530476246525,0.010869565217391304,1.0,0.001921329040091721,0.05902785613062518,0.005555555555555556,0.0,0.03888888888888889,0.0,0.13333333333333333,0.06914109480586972,0.24165159676499615,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,52.0,0.0,0.06879223612386234
style,benign_news,180,0.5111111111111111,0.5111111111111111,0.09782608695652174,9.0,92.0,0.052323757089611615,0.1755677951618667,0.0,0.0,0.0,0.04008138928562172,-0.011111111111111112,0.0,0.06111111111111111,0.0,0.13333333333333333,0.06914109480586972,0.24165159676499615,0.06666666666666667,0.026228698724506214,0.1592535731319717,0.0,0.0,52.0,0.0,0.06879223612386234
style,benign_simple,180,0.5166666666666667,0.5111111111111111,0.05434782608695652,5.0,92.0,0.023435063948632366,0.12098530476246525,0.010869565217391304,1.0,0.001921329040091721,0.05902785613062518,0.011111111111111112,0.0,0.044444444444444446,0.0,0.13333333333333333,0.06914109480586972,0.24165159676499615,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,52.0,0.0,0.06879223612386234
style,clean,180,0.5111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
style,direct_camouflage,180,0.5777777777777777,0.5111111111111111,0.14130434782608695,13.0,92.0,0.08447693378382896,0.22688580200803005,0.11956521739130435,11.0,0.06809134808816239,0.20153579593350626,0.31666666666666665,0.0,0.25555555555555554,0.07222222222222222,0.23333333333333334,0.1443956173664283,0.35436270377601964,0.18333333333333332,0.10557796889197638,0.2991975374646805,0.11538461538461539,6.0,52.0,0.05396969203087296,0.22971664344902112
style,direct_news,180,0.5444444444444444,0.5111111111111111,0.2391304347826087,22.0,92.0,0.16355145893303868,0.33562143982467696,0.20652173913043478,19.0,0.13639137196639645,0.30017813913603364,0.5166666666666667,0.0,0.37222222222222223,0.16666666666666666,0.3333333333333333,0.2272926152352268,0.4594313354788031,0.3,0.19898166138769108,0.42508707946914487,0.25,13.0,52.0,0.15233153863595772,0.3820645794259735
style,direct_simple,180,0.49444444444444446,0.5111111111111111,0.34782608695652173,32.0,92.0,0.25837759483406253,0.44947326277460486,0.33695652173913043,31.0,0.24863604579205323,0.43834701593151904,0.65,0.0,0.45555555555555555,0.2222222222222222,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.36538461538461536,19.0,52.0,0.24800699873813392,0.501283218679829
style,misleading_camouflage,180,0.5944444444444444,0.5111111111111111,0.10869565217391304,10.0,92.0,0.06012152356953175,0.18863782456704176,0.05434782608695652,5.0,0.023435063948632366,0.12098530476246525,0.2111111111111111,0.0,0.20555555555555555,0.03333333333333333,0.23333333333333334,0.1443956173664283,0.35436270377601964,0.08333333333333333,0.03612045660173077,0.1806894201833441,0.1346153846153846,7.0,52.0,0.0667688170539614,0.2527332016519379
style,misleading_news,180,0.5777777777777777,0.5111111111111111,0.22826086956521738,21.0,92.0,0.15442192005212033,0.3238831828205001,0.11956521739130435,11.0,0.06809134808816239,0.20153579593350626,0.4166666666666667,0.0,0.35,0.07222222222222222,0.4166666666666667,0.30064278558341617,0.5427191897735989,0.23333333333333334,0.1443956173664283,0.35436270377601964,0.3269230769230769,17.0,52.0,0.21522074458569176,0.4624381063802606
style,misleading_simple,180,0.5666666666666667,0.5111111111111111,0.2608695652173913,24.0,92.0,0.18202221087474602,0.35888627965316,0.16304347826086957,15.0,0.10136989771516887,0.25172842984688054,0.45,0.0,0.37222222222222223,0.08333333333333333,0.4166666666666667,0.30064278558341617,0.5427191897735989,0.21666666666666667,0.13123044048190308,0.33620027573194783,0.3269230769230769,17.0,52.0,0.21522074458569176,0.4624381063802606
