family,condition_a,condition_b,n_paired,accuracy_a,accuracy_b,accuracy_b_minus_a,a_correct_b_wrong,a_wrong_b_correct,discordant_n,mcnemar_p,mcnemar_p_holm
direct_modality,direct_image,direct_text,900,0.5111111111111111,0.5166666666666667,0.005555555555555647,105,110,215,0.7850844790200863,1.0
direct_modality,direct_image,direct_joint,900,0.5111111111111111,0.5011111111111111,-0.010000000000000009,43,34,77,0.36203179773966154,1.0
direct_modality,direct_text,direct_joint,900,0.5166666666666667,0.5011111111111111,-0.015555555555555656,93,79,172,0.3215739368880947,1.0
misleading_modality,misleading_image,misleading_text,900,0.5411111111111111,0.5511111111111111,0.010000000000000009,57,66,123,0.4708507456393825,1.0
misleading_modality,misleading_image,misleading_joint,900,0.5411111111111111,0.53,-0.011111111111111072,40,30,70,0.2819789217936561,1.0
misleading_modality,misleading_text,misleading_joint,900,0.5511111111111111,0.53,-0.02111111111111108,76,57,133,0.1182401104697609,0.7094406628185654
