condition,n_paired,clean_accuracy,attacked_accuracy,accuracy_difference,attack_success_n,clean_correct_denominator,attack_success_rate,severity_drop,severity_drop_ci_low,severity_drop_ci_high,accuracy_diff_ci_low,accuracy_diff_ci_high,mcnemar_b,mcnemar_c,mcnemar_p,mcnemar_p_holm
benign_image,900,0.51,0.5044444444444445,-0.005555555555555536,27,459,0.058823529411764705,-0.011111111111111112,-0.03111111111111111,0.0077777777777777776,-0.021111111111111136,0.009999999999999955,27,22,0.5681724128491652,1.0
benign_text,900,0.51,0.5122222222222222,0.0022222222222222365,11,459,0.023965141612200435,0.02,0.006666666666666667,0.03333333333333333,-0.007777777777777772,0.013333333333333308,11,13,0.8388197422027588,1.0
benign_joint,900,0.51,0.5033333333333333,-0.00666666666666671,30,459,0.06535947712418301,-0.008888888888888889,-0.03,0.012222222222222223,-0.023333333333333317,0.008888888888888835,30,24,0.4966174353179338,1.0
direct_image,900,0.51,0.5111111111111111,0.0011111111111110628,149,459,0.32461873638344224,0.5755555555555556,0.5188888888888888,0.63,-0.03555555555555556,0.037805555555555426,149,150,1.0,1.0
direct_text,900,0.51,0.5166666666666667,0.00666666666666671,62,459,0.13507625272331156,0.10777777777777778,0.07111111111111111,0.14444444444444443,-0.018888888888888844,0.03111111111111109,62,68,0.661169683138816,1.0
direct_joint,900,0.51,0.5011111111111111,-0.008888888888888946,140,459,0.30501089324618735,0.4222222222222222,0.3655277777777778,0.4766944444444443,-0.04444444444444451,0.025555555555555554,140,132,0.67132513537123,1.0
misleading_image,900,0.51,0.5411111111111111,0.03111111111111109,108,459,0.23529411764705882,0.41444444444444445,0.37222222222222223,0.45444444444444443,-0.0022222222222222365,0.06444444444444447,108,136,0.08368855595138631,0.6695084476110905
misleading_text,900,0.51,0.5511111111111111,0.0411111111111111,63,459,0.13725490196078433,0.2633333333333333,0.23,0.2966666666666667,0.014444444444444482,0.06777777777777783,63,100,0.004655769521455337,0.04190192569309803
misleading_joint,900,0.51,0.53,0.020000000000000018,120,459,0.26143790849673204,0.43444444444444447,0.39222222222222225,0.47555555555555556,-0.014444444444444374,0.055555555555555525,120,138,0.2898671030862162,1.0
