model,model_id,malicious_condition,benign_condition,subset,metric,n_paired_eligible,benign_rate,malicious_rate,paired_risk_difference,bootstrap_ci_low,bootstrap_ci_high,benign_only_success,malicious_only_success,discordant_n,mcnemar_p,mcnemar_p_holm
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,benign_image,full,induced_severe_undertriage,158,0.0189873417721519,0.1962025316455696,0.17721518987341772,0.12025316455696203,0.24050632911392406,0,28,28,7.450580596923828e-09,2.9802322387695312e-08
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,benign_image,full,induced_critical_undertriage,158,0.0,0.0379746835443038,0.0379746835443038,0.012658227848101266,0.06962025316455696,0,6,6,0.03125,0.125
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,benign_image,strict_visual_match,downward,244,0.03278688524590164,0.23770491803278687,0.20491803278688522,0.1557377049180328,0.2581967213114754,0,50,50,1.7763568394002505e-15,7.105427357601002e-15
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,benign_image,strict_visual_match,induced_severe_undertriage,136,0.022058823529411766,0.19852941176470587,0.1764705882352941,0.11029411764705882,0.2426470588235294,0,24,24,1.1920928955078125e-07,4.76837158203125e-07
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_image,benign_image,strict_visual_match,induced_critical_undertriage,136,0.0,0.04411764705882353,0.04411764705882353,0.014705882352941176,0.08088235294117647,0,6,6,0.03125,0.125
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,full,downward,294,0.013605442176870748,0.09183673469387756,0.0782312925170068,0.0510204081632653,0.11224489795918367,0,23,23,2.384185791015625e-07,2.384185791015625e-07
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,full,induced_severe_undertriage,158,0.006329113924050633,0.05063291139240506,0.04430379746835443,0.0189873417721519,0.0759493670886076,0,7,7,0.015625,0.03125
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,full,induced_critical_undertriage,158,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,strict_visual_match,downward,294,0.013605442176870748,0.09183673469387756,0.0782312925170068,0.0510204081632653,0.11224489795918367,0,23,23,2.384185791015625e-07,2.384185791015625e-07
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,strict_visual_match,induced_severe_undertriage,158,0.006329113924050633,0.05063291139240506,0.04430379746835443,0.0189873417721519,0.0759493670886076,0,7,7,0.015625,0.03125
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_text,benign_text,strict_visual_match,induced_critical_undertriage,158,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,full,downward,294,0.03741496598639456,0.23129251700680273,0.19387755102040816,0.14965986394557823,0.24149659863945577,0,57,57,1.3877787807814457e-17,4.163336342344337e-17
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,full,induced_severe_undertriage,158,0.02531645569620253,0.189873417721519,0.16455696202531647,0.10759493670886076,0.22151898734177217,0,26,26,2.9802322387695312e-08,8.940696716308594e-08
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,full,induced_critical_undertriage,158,0.0,0.03164556962025317,0.03164556962025317,0.006329113924050633,0.06329113924050633,0,5,5,0.0625,0.1875
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,strict_visual_match,downward,244,0.036885245901639344,0.22950819672131148,0.19262295081967212,0.14754098360655737,0.24590163934426226,0,47,47,1.4210854715202004e-14,4.263256414560601e-14
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,strict_visual_match,induced_severe_undertriage,136,0.029411764705882353,0.19852941176470587,0.1691176470588235,0.11029411764705882,0.2352941176470588,0,23,23,2.384185791015625e-07,7.152557373046875e-07
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,misleading_joint,benign_joint,strict_visual_match,induced_critical_undertriage,136,0.0,0.03676470588235294,0.03676470588235294,0.007352941176470588,0.07352941176470588,0,5,5,0.0625,0.1875
