model,model_id,ablation,semantics,condition_a,condition_b,n_paired_eligible,downward_rate_a,downward_rate_b,downward_risk_difference_b_minus_a,downward_risk_difference_ci_low,downward_risk_difference_ci_high,severity_drop_difference_b_minus_a,severity_drop_difference_ci_low,severity_drop_difference_ci_high,a_only_downward,b_only_downward,discordant,mcnemar_p,mcnemar_p_holm
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,direct,direct_simple,direct_news,31,0.41935483870967744,0.3225806451612903,-0.09677419354838712,-0.2258064516129032,0.0,-0.09677419354838707,-0.3225806451612903,0.0967741935483871,3,0,3,0.25,0.25
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,direct,direct_simple,direct_camouflage,31,0.41935483870967744,0.12903225806451613,-0.2903225806451613,-0.45161290322580644,-0.12903225806451613,-0.4516129032258064,-0.7419354838709677,-0.16129032258064516,9,0,9,0.00390625,0.01171875
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,direct,direct_news,direct_camouflage,31,0.3225806451612903,0.12903225806451613,-0.1935483870967742,-0.3548387096774194,-0.06451612903225806,-0.3548387096774194,-0.6129032258064516,-0.12903225806451613,6,0,6,0.03125,0.0625
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,misleading,misleading_simple,misleading_news,31,0.1935483870967742,0.22580645161290322,0.03225806451612903,-0.06451612903225806,0.16129032258064513,0.03225806451612903,-0.12903225806451613,0.22580645161290322,1,2,3,1.0,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,misleading,misleading_simple,misleading_camouflage,31,0.1935483870967742,0.0967741935483871,-0.0967741935483871,-0.19354838709677422,0.0,-0.16129032258064516,-0.32258064516129037,-0.03225806451612903,3,0,3,0.25,0.5
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,style,misleading,misleading_news,misleading_camouflage,31,0.22580645161290322,0.0967741935483871,-0.12903225806451613,-0.25806451612903225,-0.03225806451612903,-0.1935483870967742,-0.3870967741935484,-0.03225806451612903,4,0,4,0.125,0.375
