model,model_id,ablation,condition_a,condition_b,contrast,n_paired_eligible,rate_a,rate_b,risk_difference_b_minus_a,ci_low,ci_high,a_only,b_only,discordant_n,mcnemar_p,mcnemar_p_holm
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt03,direct_pt06,adjacent_point_size,20,0.15,0.15,0.0,-0.15,0.15,1,1,2,1.0,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt06,direct_pt09,adjacent_point_size,20,0.15,0.25,0.1,0.0,0.25,0,2,2,0.5,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt09,direct_pt12,adjacent_point_size,20,0.25,0.35,0.09999999999999998,0.0,0.25,0,2,2,0.5,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,direct_pt12,direct_pt15,adjacent_point_size,20,0.35,0.4,0.050000000000000044,-0.10000000000000003,0.20000000000000007,1,2,3,1.0,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,misleading_pt03,misleading_pt06,adjacent_point_size,20,0.1,0.15,0.04999999999999999,-0.1,0.24999999999999997,1,2,3,1.0,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,misleading_pt06,misleading_pt09,adjacent_point_size,20,0.15,0.25,0.1,0.0,0.25,0,2,2,0.5,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,misleading_pt09,misleading_pt12,adjacent_point_size,20,0.25,0.2,-0.04999999999999999,-0.15000000000000002,0.0,1,0,1,1.0,1.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,size,misleading_pt12,misleading_pt15,adjacent_point_size,20,0.2,0.25,0.04999999999999999,0.0,0.15000000000000002,0,1,1,1.0,1.0
