model,model_id,semantics,record_type,label,count,denominator,percentage
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,000,93,245,0.3795918367346939
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,001,32,245,0.1306122448979592
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,010,1,245,0.004081632653061225
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,011,12,245,0.04897959183673469
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,100,46,245,0.18775510204081633
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,101,39,245,0.15918367346938775
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,110,1,245,0.004081632653061225
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,pattern,111,21,245,0.08571428571428572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,robust,93,245,0.3795918367346939
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,joint_only_synergy,32,245,0.1306122448979592
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,image_only,46,245,0.18775510204081633
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,text_only,1,245,0.004081632653061225
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,persistent_visual,60,245,0.24489795918367346
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,joint_interference_after_image,47,245,0.19183673469387755
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,joint_interference_after_text,2,245,0.00816326530612245
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct,derived_observational_group,all_modalities,21,245,0.08571428571428572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,000,185,245,0.7551020408163265
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,001,8,245,0.0326530612244898
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,010,2,245,0.00816326530612245
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,011,4,245,0.0163265306122449
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,100,3,245,0.012244897959183673
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,101,22,245,0.08979591836734693
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,110,0,245,0.0
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,pattern,111,21,245,0.08571428571428572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,robust,185,245,0.7551020408163265
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,joint_only_synergy,8,245,0.0326530612244898
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,image_only,3,245,0.012244897959183673
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,text_only,2,245,0.00816326530612245
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,persistent_visual,43,245,0.17551020408163265
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,joint_interference_after_image,3,245,0.012244897959183673
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,joint_interference_after_text,2,245,0.00816326530612245
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading,derived_observational_group,all_modalities,21,245,0.08571428571428572
