model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,mild_damage,mild_to_little_or_no,7,86,0.08139534883720931,0.03998643153878242,0.15860182665393202,-0.011627906976744186
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,severe_damage,severe_to_mild,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.012578616352201259
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_image,severe_damage,severe_to_any_lower,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_text,mild_damage,mild_to_little_or_no,3,86,0.03488372093023256,0.01193379807740838,0.09760871102560764,-0.046511627906976744
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_text,severe_damage,severe_to_mild,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_text,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_text,severe_damage,severe_to_any_lower,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_joint,mild_damage,mild_to_little_or_no,10,86,0.11627906976744186,0.06440045821928717,0.20097211179070104,0.046511627906976744
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_joint,severe_damage,severe_to_mild,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_joint,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,benign_joint,severe_damage,severe_to_any_lower,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.006289308176100629
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,mild_damage,mild_to_little_or_no,61,86,0.7093023255813954,0.6060316083912257,0.7946742625124171,0.6395348837209303
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,severe_damage,severe_to_mild,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.5723270440251572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,severe_damage,severe_to_little_or_no,45,159,0.2830188679245283,0.2187609832750424,0.35751399915448506,0.5723270440251572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_image,severe_damage,severe_to_any_lower,46,159,0.2893081761006289,0.22445683878786274,0.36410002820892484,0.5723270440251572
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_text,mild_damage,mild_to_little_or_no,23,86,0.26744186046511625,0.18532084622257786,0.36945040832893017,0.2558139534883721
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_text,severe_damage,severe_to_mild,6,159,0.03773584905660377,0.017407430277391087,0.0798740540289935,0.11320754716981132
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_text,severe_damage,severe_to_little_or_no,6,159,0.03773584905660377,0.017407430277391087,0.0798740540289935,0.11320754716981132
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_text,severe_damage,severe_to_any_lower,12,159,0.07547169811320754,0.04369745269599838,0.12727533901394666,0.11320754716981132
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_joint,mild_damage,mild_to_little_or_no,50,86,0.5813953488372093,0.4758445635760395,0.6799854973309328,0.5232558139534884
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_joint,severe_damage,severe_to_mild,0,159,0.0,0.0,0.023590176902824132,0.6792452830188679
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_joint,severe_damage,severe_to_little_or_no,54,159,0.33962264150943394,0.27056987288458856,0.4162420706502796,0.6792452830188679
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,direct_joint,severe_damage,severe_to_any_lower,54,159,0.33962264150943394,0.27056987288458856,0.4162420706502796,0.6792452830188679
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,mild_damage,mild_to_little_or_no,24,86,0.27906976744186046,0.1952867777055854,0.3817459141183472,0.2558139534883721
