model,model_id,ablation,condition_a,condition_b,contrast,n_paired_eligible,rate_a,rate_b,risk_difference_b_minus_a,ci_low,ci_high,a_only,b_only,discordant_n,mcnemar_p,mcnemar_p_holm
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct_pt03,direct_pt06,adjacent_point_size,21,0.09523809523809523,0.047619047619047616,-0.047619047619047616,-0.14285714285714285,0.0,1,0,1,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct_pt06,direct_pt09,adjacent_point_size,21,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.38095238095238093,0,4,4,0.125,0.875
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct_pt09,direct_pt12,adjacent_point_size,21,0.23809523809523808,0.6190476190476191,0.380952380952381,0.19047619047619047,0.5714285714285714,0,8,8,0.0078125,0.0625
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct_pt12,direct_pt15,adjacent_point_size,21,0.6190476190476191,0.7619047619047619,0.1428571428571428,0.0,0.33333333333333326,0,3,3,0.25,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading_pt03,misleading_pt06,adjacent_point_size,21,0.09523809523809523,0.09523809523809523,0.0,-0.14285714285714285,0.14285714285714285,1,1,2,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading_pt06,misleading_pt09,adjacent_point_size,21,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.0,0.23809523809523808,0,2,2,0.5,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading_pt09,misleading_pt12,adjacent_point_size,21,0.19047619047619047,0.3333333333333333,0.14285714285714285,0.0,0.28571428571428575,0,3,3,0.25,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading_pt12,misleading_pt15,adjacent_point_size,21,0.3333333333333333,0.3333333333333333,0.0,-0.14285714285714285,0.14285714285714285,1,1,2,1.0,1.0
