model,model_id,semantics,record_type,label,count,denominator,percentage
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,000,50,245,0.20408163265306123
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,001,27,245,0.11020408163265306
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,010,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,011,2,245,0.00816326530612245
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,100,84,245,0.34285714285714286
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,101,64,245,0.2612244897959184
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,110,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,pattern,111,18,245,0.07346938775510205
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,robust,50,245,0.20408163265306123
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,joint_only_synergy,27,245,0.11020408163265306
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,image_only,84,245,0.34285714285714286
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,text_only,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,persistent_visual,82,245,0.3346938775510204
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,joint_interference_after_image,84,245,0.34285714285714286
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,joint_interference_after_text,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct,derived_observational_group,all_modalities,18,245,0.07346938775510205
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,000,190,245,0.7755102040816326
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,001,10,245,0.04081632653061224
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,010,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,011,1,245,0.004081632653061225
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,100,1,245,0.004081632653061225
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,101,29,245,0.11836734693877551
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,110,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,pattern,111,14,245,0.05714285714285714
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,robust,190,245,0.7755102040816326
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,joint_only_synergy,10,245,0.04081632653061224
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,image_only,1,245,0.004081632653061225
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,text_only,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,persistent_visual,43,245,0.17551020408163265
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,joint_interference_after_image,1,245,0.004081632653061225
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,joint_interference_after_text,0,245,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading,derived_observational_group,all_modalities,14,245,0.05714285714285714
