model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_image,mild_damage,mild_to_little_or_no,12,86,0.13953488372093023,0.08165847155571476,0.22823697299912266,0.06976744186046512
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_image,severe_damage,severe_to_mild,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_image,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_image,severe_damage,severe_to_any_lower,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_text,mild_damage,mild_to_little_or_no,1,86,0.011627906976744186,0.0020555686652495644,0.06296406589291725,-0.011627906976744186
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_text,severe_damage,severe_to_mild,0,159,0.0,0.0,0.023590176902824132,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_text,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_text,severe_damage,severe_to_any_lower,0,159,0.0,0.0,0.023590176902824132,0.0
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_joint,mild_damage,mild_to_little_or_no,11,86,0.12790697674418605,0.07294621791742709,0.21468778936498575,0.046511627906976744
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_joint,severe_damage,severe_to_mild,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_joint,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,benign_joint,severe_damage,severe_to_any_lower,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.012578616352201259
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_image,mild_damage,mild_to_little_or_no,77,86,0.8953488372093024,0.8129297644077995,0.943959102854637,0.8837209302325582
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_image,severe_damage,severe_to_mild,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,1.1069182389937107
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_image,severe_damage,severe_to_little_or_no,87,159,0.5471698113207547,0.46959600192610984,0.6225181323283406,1.1069182389937107
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_image,severe_damage,severe_to_any_lower,89,159,0.559748427672956,0.4820807267303315,0.6345971766586392,1.1069182389937107
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_text,mild_damage,mild_to_little_or_no,17,86,0.19767441860465115,0.12724351812233703,0.2939591127946234,0.1744186046511628
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_text,severe_damage,severe_to_mild,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.031446540880503145
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_text,severe_damage,severe_to_little_or_no,2,159,0.012578616352201259,0.003456315519739659,0.04469763051760463,0.031446540880503145
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_text,severe_damage,severe_to_any_lower,3,159,0.018867924528301886,0.0064372109688191174,0.05399861963578524,0.031446540880503145
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_joint,mild_damage,mild_to_little_or_no,59,86,0.686046511627907,0.5817959683851581,0.7743870279736356,0.6046511627906976
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_joint,severe_damage,severe_to_mild,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.6477987421383647
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_joint,severe_damage,severe_to_little_or_no,51,159,0.32075471698113206,0.2531674219409781,0.39679886789210983,0.6477987421383647
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,direct_joint,severe_damage,severe_to_any_lower,52,159,0.3270440251572327,0.2589540101327051,0.4032941642676429,0.6477987421383647
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_image,mild_damage,mild_to_little_or_no,25,86,0.29069767441860467,0.20532573748758295,0.3939683916087743,0.27906976744186046
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_image,severe_damage,severe_to_mild,14,159,0.0880503144654088,0.053173773270627,0.14236278757383816,0.1509433962264151
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_image,severe_damage,severe_to_little_or_no,5,159,0.031446540880503145,0.01350538616419597,0.07149421357492854,0.1509433962264151
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_image,severe_damage,severe_to_any_lower,19,159,0.11949685534591195,0.0778501996506691,0.17909578403009646,0.1509433962264151
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_text,mild_damage,mild_to_little_or_no,12,86,0.13953488372093023,0.08165847155571476,0.22823697299912266,0.12790697674418605
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_text,severe_damage,severe_to_mild,3,159,0.018867924528301886,0.0064372109688191174,0.05399861963578524,0.018867924528301886
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_text,severe_damage,severe_to_little_or_no,0,159,0.0,0.0,0.023590176902824132,0.018867924528301886
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_text,severe_damage,severe_to_any_lower,3,159,0.018867924528301886,0.0064372109688191174,0.05399861963578524,0.018867924528301886
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_joint,mild_damage,mild_to_little_or_no,29,86,0.3372093023255814,0.24616548577577763,0.44217439241027795,0.313953488372093
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_joint,severe_damage,severe_to_mild,21,159,0.1320754716981132,0.08803381412582828,0.19347593868945745,0.18238993710691823
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_joint,severe_damage,severe_to_little_or_no,4,159,0.025157232704402517,0.009825669523813543,0.0628920456480509,0.18238993710691823
qwen36_27b_bf16__gcp_a100,Qwen/Qwen3.6-27B,misleading_joint,severe_damage,severe_to_any_lower,25,159,0.15723270440251572,0.10882678335810556,0.22181050772622043,0.18238993710691823
