model,model_id,ablation,semantics,condition_a,condition_b,n_paired_eligible,downward_rate_a,downward_rate_b,downward_risk_difference_b_minus_a,downward_risk_difference_ci_low,downward_risk_difference_ci_high,severity_drop_difference_b_minus_a,severity_drop_difference_ci_low,severity_drop_difference_ci_high,a_only_downward,b_only_downward,discordant,mcnemar_p,mcnemar_p_holm
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,direct,direct_simple,direct_news,28,0.6785714285714286,0.5357142857142857,-0.1428571428571429,-0.32142857142857145,0.03571428571428581,-0.1428571428571429,-0.3571428571428572,0.1071428571428572,6,2,8,0.2890625,0.359130859375
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,direct,direct_simple,direct_camouflage,28,0.6785714285714286,0.32142857142857145,-0.35714285714285715,-0.6071428571428571,-0.1071428571428571,-0.35714285714285715,-0.6785714285714286,0.0,13,3,16,0.021270751953125,0.063812255859375
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,direct,direct_news,direct_camouflage,28,0.5357142857142857,0.32142857142857145,-0.21428571428571425,-0.4642857142857143,0.0357142857142857,-0.21428571428571425,-0.5,0.1071428571428571,10,4,14,0.1795654296875,0.359130859375
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,misleading,misleading_simple,misleading_news,28,0.32142857142857145,0.39285714285714285,0.0714285714285714,0.0,0.17857142857142858,0.07142857142857145,0.0,0.17857142857142858,0,2,2,0.5,0.5
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,misleading,misleading_simple,misleading_camouflage,28,0.32142857142857145,0.17857142857142858,-0.14285714285714288,-0.2857142857142857,-0.0357142857142857,-0.21428571428571427,-0.46428571428571425,-0.0357142857142857,4,0,4,0.125,0.25
mistral31_24b_bf16__gcp_a100,mistralai/Mistral-Small-3.1-24B-Instruct-2503,style,misleading,misleading_news,misleading_camouflage,28,0.39285714285714285,0.17857142857142858,-0.21428571428571427,-0.3928571428571428,-0.07142857142857142,-0.2857142857142857,-0.5357142857142857,-0.1071428571428571,6,0,6,0.03125,0.09375
