model,model_id,ablation,semantics,condition_a,condition_b,n_paired_eligible,downward_rate_a,downward_rate_b,downward_risk_difference_b_minus_a,downward_risk_difference_ci_low,downward_risk_difference_ci_high,severity_drop_difference_b_minus_a,severity_drop_difference_ci_low,severity_drop_difference_ci_high,a_only_downward,b_only_downward,discordant,mcnemar_p,mcnemar_p_holm
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct,direct_small,direct_medium,21,0.7619047619047619,0.9047619047619048,0.1428571428571429,0.0,0.33333333333333326,0.23809523809523814,0.0,0.523809523809524,0,3,3,0.25,0.75
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct,direct_small,direct_large,21,0.7619047619047619,0.8571428571428571,0.09523809523809523,-0.09523809523809523,0.2857142857142857,0.1428571428571428,-0.19047619047619047,0.4761904761904763,1,3,4,0.625,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,direct,direct_medium,direct_large,21,0.9047619047619048,0.8571428571428571,-0.04761904761904767,-0.1428571428571429,0.0,-0.09523809523809534,-0.2857142857142858,0.0,1,0,1,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading,misleading_small,misleading_medium,21,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.0,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0,1,1,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading,misleading_small,misleading_large,21,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.0,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0,1,1,1.0,1.0
qwen3vl_32b_bf16__gcp_a100,Qwen/Qwen3-VL-32B-Instruct,size,misleading,misleading_medium,misleading_large,21,0.3333333333333333,0.3333333333333333,0.0,-0.14285714285714285,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,1,1,2,1.0,1.0
