model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,little_or_no_damage,little_or_no_to_mild,1,131,0.007633587786259542,0.0013487890456915057,0.04197215150021155,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,little_or_no_damage,little_or_no_to_any_higher,1,131,0.007633587786259542,0.0013487890456915057,0.04197215150021155,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,mild_damage,mild_to_little_or_no,27,92,0.29347826086956524,0.21021716711066393,0.39329471107252756,0.2826086956521739
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,mild_damage,mild_to_severe,1,92,0.010869565217391304,0.001921329040091721,0.05902785613062518,0.2826086956521739
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,severe_damage,severe_to_mild,2,157,0.012738853503184714,0.003500433177716391,0.04525228815538079,0.03821656050955414
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,severe_damage,severe_to_little_or_no,2,157,0.012738853503184714,0.003500433177716391,0.04525228815538079,0.03821656050955414
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_text,severe_damage,severe_to_any_lower,4,157,0.025477707006369428,0.009951391042220214,0.06367054019066526,0.03821656050955414
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,little_or_no_damage,little_or_no_to_mild,2,131,0.015267175572519083,0.004196844256021768,0.05395632976978977,-0.015267175572519083
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,-0.015267175572519083
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,little_or_no_damage,little_or_no_to_any_higher,2,131,0.015267175572519083,0.004196844256021768,0.05395632976978977,-0.015267175572519083
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,mild_damage,mild_to_little_or_no,56,92,0.6086956521739131,0.5065341915409213,0.7021437673100305,0.5434782608695652
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,mild_damage,mild_to_severe,6,92,0.06521739130434782,0.030230203323134093,0.13505796127305872,0.5434782608695652
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,severe_damage,severe_to_mild,0,157,0.0,0.0,0.023883511433308864,0.6496815286624203
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,severe_damage,severe_to_little_or_no,51,157,0.3248407643312102,0.2565285640675833,0.4015197998103275,0.6496815286624203
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,direct_joint,severe_damage,severe_to_any_lower,51,157,0.3248407643312102,0.2565285640675833,0.4015197998103275,0.6496815286624203
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,little_or_no_damage,little_or_no_to_mild,1,131,0.007633587786259542,0.0013487890456915057,0.04197215150021155,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,little_or_no_damage,little_or_no_to_any_higher,1,131,0.007633587786259542,0.0013487890456915057,0.04197215150021155,-0.007633587786259542
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,mild_damage,mild_to_little_or_no,32,92,0.34782608695652173,0.25837759483406253,0.44947326277460486,0.34782608695652173
